District,Statecode,Date,Count
Adilabad,TG,05/04/2020,1
Adilabad,TG,07/04/2020,1
Adilabad,TG,10/04/2020,8
Adilabad,TG,11/04/2020,1
Adilabad,TG,19/04/2020,5
Agar Malwa,MP,15/04/2020,3
Agar Malwa,MP,16/04/2020,1
Agra,UP,01/04/2020,1
Agra,UP,02/04/2020,5
Agra,UP,03/04/2020,3
Agra,UP,04/03/2020,7
Agra,UP,04/04/2020,24
Agra,UP,05/04/2020,3
Agra,UP,06/04/2020,2
Agra,UP,07/04/2020,13
Agra,UP,08/04/2020,2
Agra,UP,09/03/2020,2
Agra,UP,09/04/2020,19
Agra,UP,10/04/2020,5
Agra,UP,11/04/2020,4
Agra,UP,12/04/2020,12
Agra,UP,13/03/2020,1
Agra,UP,13/04/2020,35
Agra,UP,14/04/2020,4
Agra,UP,15/04/2020,15
Agra,UP,16/04/2020,9
Agra,UP,17/04/2020,5
Agra,UP,18/04/2020,27
Agra,UP,19/04/2020,43
Agra,UP,30/03/2020,1
Ahmadabad,GJ,01/04/2020,8
Ahmadabad,GJ,03/04/2020,7
Ahmadabad,GJ,04/04/2020,7
Ahmadabad,GJ,05/04/2020,8
Ahmadabad,GJ,06/04/2020,11
Ahmadabad,GJ,07/04/2020,19
Ahmadabad,GJ,09/04/2020,59
Ahmadabad,GJ,10/04/2020,55
Ahmadabad,GJ,11/04/2020,46
Ahmadabad,GJ,12/04/2020,39
Ahmadabad,GJ,13/04/2020,38
Ahmadabad,GJ,14/04/2020,53
Ahmadabad,GJ,15/04/2020,77
Ahmadabad,GJ,16/04/2020,95
Ahmadabad,GJ,17/04/2020,78
Ahmadabad,GJ,18/04/2020,239
Ahmadabad,GJ,19/04/2020,239
Ahmadabad,GJ,20/03/2020,3
Ahmadabad,GJ,21/03/2020,2
Ahmadabad,GJ,22/03/2020,3
Ahmadabad,GJ,23/03/2020,6
Ahmadabad,GJ,28/03/2020,3
Ahmadabad,GJ,29/03/2020,4
Ahmadabad,GJ,30/03/2020,1
Ahmadabad,GJ,31/03/2020,1
Ahmadnagar,MH,02/04/2020,9
Ahmadnagar,MH,05/04/2020,4
Ahmadnagar,MH,06/04/2020,2
Ahmadnagar,MH,07/04/2020,2
Ahmadnagar,MH,11/04/2020,1
Ahmadnagar,MH,13/04/2020,1
Ahmadnagar,MH,14/03/2020,1
Ahmadnagar,MH,16/04/2020,1
Ahmadnagar,MH,18/04/2020,1
